    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 18/07/15
 -12.04163 -12.02407 -12.00567 -11.97681 -11.95072 -11.92134 -11.87254 -11.82738
 -11.77678 -11.69985 -11.63150 -11.55215 -11.42917 -11.32072 -11.19641 -11.00227
 -10.82695 -10.62152 -10.30026 -10.02540  -9.73346  -9.33545  -9.03154  -8.72729
 -12.19747 -12.18668 -12.17347 -12.15319 -12.13525 -12.11378 -12.07958 -12.04874
 -12.01273 -11.95621 -11.90615 -11.84924 -11.76115 -11.68258 -11.59162 -11.44818
 -11.31367 -11.14732 -10.87559 -10.63462 -10.36976  -9.99496  -9.70211  -9.40805
 -12.39022 -12.38348 -12.37515 -12.36231 -12.35098 -12.33739 -12.31475 -12.29414
 -12.27102 -12.23528 -12.20362 -12.16744 -12.10938 -12.05747 -11.99905 -11.90288
 -11.80677 -11.68341 -11.47548 -11.28585 -11.07133 -10.75300 -10.49580 -10.23644
 -12.51478 -12.51020 -12.50374 -12.49423 -12.48629 -12.47627 -12.45944 -12.44436
 -12.42755 -12.40103 -12.37714 -12.35002 -12.30808 -12.27040 -12.22596 -12.15247
 -12.07872 -11.98264 -11.82363 -11.67875 -11.50992 -11.25091 -11.03781 -10.82244
 -12.64004 -12.63630 -12.63247 -12.62582 -12.61928 -12.61192 -12.60093 -12.59095
 -12.57878 -12.55975 -12.54296 -12.52349 -12.49333 -12.46674 -12.43579 -12.38252
 -12.32822 -12.25910 -12.14758 -12.04546 -11.92293 -11.73061 -11.57085 -11.40921
 -12.71581 -12.71782 -12.71931 -12.71990 -12.71968 -12.71948 -12.71706 -12.71321
 -12.70833 -12.69959 -12.69143 -12.68237 -12.66640 -12.65074 -12.63234 -12.59962
 -12.56600 -12.52371 -12.45367 -12.38710 -12.30574 -12.17907 -12.07507 -11.97000
 -12.61771 -12.63213 -12.64523 -12.66185 -12.67428 -12.68608 -12.69980 -12.70891
 -12.71742 -12.72651 -12.73168 -12.73583 -12.73814 -12.73626 -12.73055 -12.71613
 -12.69865 -12.67409 -12.63008 -12.58503 -12.52697 -12.43757 -12.36596 -12.29385
 -12.27509 -12.30674 -12.33920 -12.38127 -12.41216 -12.44319 -12.48684 -12.52109
 -12.55439 -12.59830 -12.63144 -12.66361 -12.70535 -12.73480 -12.75987 -12.78624
 -12.80131 -12.81160 -12.81335 -12.80176 -12.77729 -12.73332 -12.69673 -12.65973
 -11.88762 -11.92505 -11.96353 -12.01616 -12.05700 -12.09835 -12.15778 -12.20684
 -12.25788 -12.32856 -12.38523 -12.44536 -12.53004 -12.59514 -12.65803 -12.74209
 -12.80852 -12.87534 -12.94806 -12.98495 -13.00715 -13.01870 -13.01990 -13.02010
 -11.76761 -11.80625 -11.84555 -11.90013 -11.94332 -11.98721 -12.05008 -12.10221
 -12.15730 -12.23482 -12.29782 -12.36550 -12.46264 -12.53900 -12.61494 -12.72327
 -12.81324 -12.90555 -13.01452 -13.08054 -13.13242 -13.18034 -13.20669 -13.23174
 -11.73074 -11.76891 -11.80941 -11.86515 -11.90895 -11.95490 -12.02046 -12.07439
 -12.13216 -12.21392 -12.28057 -12.35282 -12.45847 -12.54253 -12.62640 -12.74885
 -12.85259 -12.96025 -13.09537 -13.18557 -13.26279 -13.34213 -13.39037 -13.43705
 -11.77481 -11.81331 -11.85462 -11.90972 -11.95243 -11.99887 -12.06594 -12.12099
 -12.18016 -12.26393 -12.33236 -12.40696 -12.51645 -12.60450 -12.69383 -12.82399
 -12.93583 -13.05636 -13.21045 -13.31576 -13.41093 -13.51597 -13.58377 -13.65001
 -11.84672 -11.88543 -11.92646 -11.98136 -12.02430 -12.07096 -12.13829 -12.19347
 -12.25266 -12.33683 -12.40605 -12.48172 -12.59221 -12.68153 -12.77375 -12.90747
 -13.02156 -13.14538 -13.30550 -13.41646 -13.51822 -13.63357 -13.71002 -13.78503
 -11.99057 -12.02855 -12.06931 -12.12606 -12.17027 -12.21546 -12.28124 -12.33661
 -12.39573 -12.48020 -12.55002 -12.62606 -12.73708 -12.82723 -12.92070 -13.05499
 -13.16899 -13.29347 -13.45429 -13.56569 -13.66882 -13.78759 -13.86739 -13.94585
 -12.22535 -12.26175 -12.30101 -12.35633 -12.39986 -12.44457 -12.50908 -12.56331
 -12.62187 -12.70515 -12.77318 -12.84698 -12.95560 -13.04390 -13.13430 -13.26361
 -13.37265 -13.49005 -13.64000 -13.74196 -13.83360 -13.93641 -14.00448 -14.07127
 -12.39611 -12.43164 -12.47007 -12.52480 -12.56796 -12.61179 -12.67489 -12.72782
 -12.78448 -12.86534 -12.93174 -13.00359 -13.10864 -13.19401 -13.28169 -13.40400
 -13.50469 -13.61250 -13.74719 -13.83587 -13.91372 -13.99827 -14.05267 -14.10579
 -12.59330 -12.62743 -12.66473 -12.71864 -12.76116 -12.80379 -12.86594 -12.91796
 -12.97226 -13.05094 -13.11602 -13.18465 -13.28477 -13.36618 -13.44843 -13.56091
 -13.65200 -13.74817 -13.86498 -13.93866 -14.00095 -14.06779 -14.11118 -14.15362
 -12.83574 -12.86874 -12.90494 -12.95701 -12.99850 -13.04101 -13.10093 -13.15044
 -13.20397 -13.28003 -13.34128 -13.40626 -13.50050 -13.57652 -13.65321 -13.75601
 -13.83621 -13.91802 -14.01611 -14.07730 -14.12735 -14.17889 -14.21134 -14.24293
