   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
    4    2    2    1    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 15/03/13
 -12.09005 -12.06934 -12.04474 -12.01469 -11.97836 -11.93460 -11.88207 -11.81965
 -11.74603 -11.65580 -11.54360 -11.40659 -11.24308 -11.04940 -10.82028 -10.55253
 -10.24960  -9.92079  -9.57785  -9.22994  -8.88170  -8.53346  -8.18522  -7.83698
 -12.24336 -12.22907 -12.21221 -12.19227 -12.16807 -12.13781 -12.10117 -12.05786
 -12.00576 -11.94106 -11.85969 -11.75857 -11.63650 -11.48791 -11.30166 -11.06541
 -10.78028 -10.46032 -10.12439  -9.78175  -9.43592  -9.08941  -8.74291  -8.39641
 -12.37450 -12.36531 -12.35445 -12.34142 -12.32557 -12.30584 -12.28190 -12.25323
 -12.21811 -12.17408 -12.11836 -12.04841 -11.96293 -11.85272 -11.70081 -11.49258
 -11.22750 -10.92051 -10.59591 -10.26551  -9.93289  -9.59982  -9.26676  -8.93370
 -12.43248 -12.42724 -12.42166 -12.41516 -12.40673 -12.39593 -12.38251 -12.36631
 -12.34678 -12.32124 -12.28787 -12.24630 -12.19289 -12.11857 -12.00665 -11.83391
 -11.59800 -11.31623 -11.01303 -10.71199 -10.42221 -10.13509  -9.84797  -9.56086
 -12.34753 -12.34759 -12.34643 -12.34478 -12.34339 -12.34067 -12.33623 -12.33044
 -12.32322 -12.31317 -12.29958 -12.28269 -12.25971 -12.22322 -12.15920 -12.04658
 -11.87245 -11.64195 -11.38316 -11.13440 -10.91097 -10.69345 -10.47594 -10.25842
 -12.08782 -12.09905 -12.10946 -12.11908 -12.12804 -12.13609 -12.14349 -12.15021
 -12.15534 -12.15884 -12.16110 -12.16216 -12.16050 -12.15335 -12.13442 -12.09006
 -12.00329 -11.86431 -11.68339 -11.49996 -11.33744 -11.17997 -11.02251 -10.86504
 -11.69501 -11.72455 -11.75415 -11.78334 -11.81135 -11.84025 -11.86872 -11.89503
 -11.92030 -11.94381 -11.96531 -11.98580 -12.00404 -12.01749 -12.02387 -12.02297
 -12.00562 -11.95852 -11.87602 -11.77562 -11.67454 -11.57357 -11.47260 -11.37164
