    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 07/10/18
 -10.60665 -10.60665 -10.60665 -10.60665 -10.60665 -10.60665 -10.60665 -10.60665
 -10.60665 -10.60665 -10.60665 -10.60665 -10.60665 -10.60665 -10.60665 -10.60665
 -10.60665 -10.60665 -10.60665 -10.60665 -10.60665 -10.60665 -10.60665 -10.60665
 -10.51868 -10.51868 -10.51868 -10.51868 -10.51868 -10.51868 -10.51868 -10.51868
 -10.51868 -10.51868 -10.51868 -10.51868 -10.51868 -10.51868 -10.51868 -10.51868
 -10.51868 -10.51868 -10.51868 -10.51868 -10.51868 -10.51868 -10.51868 -10.51868
 -10.40255 -10.40255 -10.40255 -10.40256 -10.40256 -10.40256 -10.40256 -10.40256
 -10.40256 -10.40256 -10.40256 -10.40256 -10.40256 -10.40256 -10.40256 -10.40256
 -10.40256 -10.40256 -10.40256 -10.40256 -10.40256 -10.40256 -10.40256 -10.40256
 -10.32169 -10.32171 -10.32172 -10.32172 -10.32173 -10.32173 -10.32174 -10.32175
 -10.32176 -10.32177 -10.32178 -10.32178 -10.32178 -10.32178 -10.32178 -10.32179
 -10.32179 -10.32179 -10.32179 -10.32179 -10.32179 -10.32179 -10.32179 -10.32179
 -10.22724 -10.22734 -10.22738 -10.22740 -10.22744 -10.22748 -10.22756 -10.22766
 -10.22777 -10.22791 -10.22799 -10.22804 -10.22807 -10.22809 -10.22809 -10.22809
 -10.22809 -10.22810 -10.22810 -10.22810 -10.22810 -10.22810 -10.22810 -10.22810
