   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 15/03/13
 -31.65520 -31.82805 -32.07137 -32.36999 -32.70033 -33.04977 -33.40710 -33.76410
 -34.11787 -34.46026 -34.78244 -35.07831 -35.34496 -35.58514 -35.80375 -35.99923
 -36.16788 -36.30592 -36.41122 -36.48588 -36.53991 -36.58209 -36.61569 -36.64285
 -31.06670 -31.24549 -31.47278 -31.72637 -31.98133 -32.22676 -32.45069 -32.64073
 -32.78877 -32.89182 -32.95476 -32.98693 -32.99958 -33.00065 -32.99551 -32.98662
 -32.97613 -32.96554 -32.95552 -32.95260 -32.95900 -32.96731 -32.97530 -32.98296
 -30.24392 -30.31854 -30.39025 -30.44333 -30.47441 -30.49039 -30.49792 -30.50116
 -30.50212 -30.50224 -30.50229 -30.50228 -30.50216 -30.50244 -30.50361 -30.50469
 -30.50675 -30.51062 -30.51480 -30.52755 -30.55229 -30.57976 -30.60721 -30.63466
 -28.80185 -28.78914 -28.77851 -28.77165 -28.76826 -28.76721 -28.76745 -28.76816
 -28.76884 -28.76963 -28.77055 -28.77126 -28.77164 -28.77168 -28.77178 -28.77317
 -28.77696 -28.78452 -28.79962 -28.83905 -28.90599 -28.97879 -29.05119 -29.12319
 -27.55409 -27.55245 -27.55174 -27.55148 -27.55134 -27.55121 -27.55108 -27.55094
 -27.55075 -27.55053 -27.55025 -27.54974 -27.54876 -27.54736 -27.54622 -27.54697
 -27.55265 -27.56774 -27.59965 -27.67725 -27.80451 -27.94195 -28.07839 -28.21397
 -26.60228 -26.60228 -26.60227 -26.60227 -26.60227 -26.60226 -26.60226 -26.60226
 -26.60222 -26.60220 -26.60209 -26.60179 -26.60211 -26.60312 -26.60457 -26.60814
 -26.61924 -26.64556 -26.69674 -26.80194 -26.96276 -27.13539 -27.30741 -27.47895
 -25.89821 -25.89822 -25.89822 -25.89822 -25.89822 -25.89822 -25.89822 -25.89821
 -25.89822 -25.89816 -25.89812 -25.89835 -25.89845 -25.89944 -25.90329 -25.91086
 -25.92714 -25.96136 -26.02604 -26.14188 -26.30551 -26.47969 -26.65375 -26.82769
 -25.39423 -25.39423 -25.39423 -25.39423 -25.39423 -25.39423 -25.39423 -25.39424
 -25.39421 -25.39429 -25.39442 -25.39438 -25.39465 -25.39639 -25.40111 -25.41014
 -25.42891 -25.46654 -25.53441 -25.64836 -25.80391 -25.96900 -26.13427 -26.29959
 -25.03783 -25.03783 -25.03783 -25.03783 -25.03783 -25.03783 -25.03784 -25.03784
 -25.03779 -25.03794 -25.03831 -25.03856 -25.03919 -25.04117 -25.04592 -25.05552
 -25.07509 -25.11296 -25.17990 -25.28861 -25.43399 -25.58795 -25.74220 -25.89658
 -24.79039 -24.79039 -24.79039 -24.79039 -24.79039 -24.79039 -24.79039 -24.79040
 -24.79040 -24.79043 -24.79036 -24.79014 -24.79081 -24.79353 -24.79903 -24.80782
 -24.82612 -24.86334 -24.92763 -25.03027 -25.16690 -25.31156 -25.45656 -25.60171
 -24.62036 -24.62036 -24.62036 -24.62036 -24.62036 -24.62036 -24.62037 -24.62037
 -24.62028 -24.62024 -24.62024 -24.62012 -24.62069 -24.62277 -24.62725 -24.63613
 -24.65424 -24.68897 -24.74951 -24.84688 -24.97662 -25.11399 -25.25170 -25.38955
 -24.50453 -24.50453 -24.50453 -24.50453 -24.50453 -24.50454 -24.50452 -24.50452
