    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 18/07/15
 -47.81794 -47.82171 -47.82236 -47.82145 -47.82171 -47.82176 -47.82169 -47.82171
 -47.82171 -47.82171 -47.82171 -47.82171 -47.82172 -47.82171 -47.82167 -47.82189
 -47.82220 -47.82247 -47.82326 -47.82420 -47.82576 -47.83352 -47.84349 -47.85400
 -39.97649 -39.97520 -39.97498 -39.97529 -39.97520 -39.97519 -39.97521 -39.97520
 -39.97520 -39.97521 -39.97520 -39.97520 -39.97521 -39.97521 -39.97521 -39.97521
 -39.97541 -39.97601 -39.97716 -39.97814 -39.97983 -39.98842 -39.99945 -40.01108
 -34.01714 -34.01733 -34.01736 -34.01732 -34.01733 -34.01733 -34.01733 -34.01733
 -34.01733 -34.01733 -34.01733 -34.01732 -34.01735 -34.01731 -34.01719 -34.01791
 -34.01873 -34.01889 -34.01972 -34.02169 -34.02578 -34.04081 -34.05861 -34.07728
 -31.36456 -31.36450 -31.36449 -31.36450 -31.36450 -31.36450 -31.36450 -31.36450
 -31.36450 -31.36450 -31.36450 -31.36449 -31.36455 -31.36456 -31.36444 -31.36475
 -31.36543 -31.36640 -31.36914 -31.37327 -31.38135 -31.41019 -31.44410 -31.47964
 -29.42661 -29.42663 -29.42663 -29.42663 -29.42663 -29.42663 -29.42663 -29.42663
 -29.42663 -29.42662 -29.42662 -29.42664 -29.42653 -29.42640 -29.42649 -29.42755
 -29.42897 -29.43096 -29.43840 -29.44910 -29.46659 -29.52114 -29.58352 -29.64874
 -27.98968 -27.98968 -27.98968 -27.98968 -27.98968 -27.98968 -27.98968 -27.98968
 -27.98968 -27.98971 -27.98970 -27.98963 -27.99004 -27.99064 -27.99130 -27.99401
 -27.99894 -28.00766 -28.02814 -28.05236 -28.08897 -28.18672 -28.29298 -28.40359
 -27.27826 -27.27826 -27.27826 -27.27826 -27.27826 -27.27826 -27.27827 -27.27826
 -27.27822 -27.27825 -27.27818 -27.27795 -27.27894 -27.28041 -27.28172 -27.28686
 -27.29642 -27.31315 -27.34964 -27.38950 -27.44472 -27.57640 -27.71425 -27.85725
 -26.52519 -26.52519 -26.52519 -26.52519 -26.52519 -26.52519 -26.52517 -26.52519
 -26.52530 -26.52551 -26.52556 -26.52555 -26.52686 -26.52892 -26.53200 -26.54383
 -26.56228 -26.59104 -26.65134 -26.71597 -26.80073 -26.97632 -27.14917 -27.32739
 -25.86411 -25.86411 -25.86411 -25.86411 -25.86411 -25.86411 -25.86409 -25.86411
 -25.86422 -25.86427 -25.86456 -25.86557 -25.86749 -25.87054 -25.87722 -25.89561
 -25.92253 -25.96652 -26.05267 -26.14219 -26.25967 -26.47997 -26.68416 -26.89338
 -25.55575 -25.55575 -25.55575 -25.55574 -25.55575 -25.55577 -25.55568 -25.55575
 -25.55612 -25.55607 -25.55612 -25.55734 -25.55960 -25.56309 -25.57102 -25.59184
 -25.62224 -25.67281 -25.77152 -25.87358 -26.00645 -26.24634 -26.46355 -26.68553
 -25.32027 -25.32027 -25.32027 -25.32026 -25.32027 -25.32029 -25.32018 -25.32027
 -25.32082 -25.32115 -25.32136 -25.32252 -25.32540 -25.32933 -25.33680 -25.35943
 -25.39324 -25.44741 -25.55484 -25.66615 -25.80796 -26.06012 -26.28731 -26.51935
 -25.14658 -25.14658 -25.14658 -25.14658 -25.14658 -25.14658 -25.14657 -25.14658
 -25.14667 -25.14697 -25.14744 -25.14834 -25.15097 -25.15515 -25.16306 -25.18664
 -25.22138 -25.27679 -25.38803 -25.50449 -25.65287 -25.91214 -26.14294 -26.37836
 -25.06384 -25.06384 -25.06384 -25.06383 -25.06384 -25.06386 -25.06377 -25.06384
 -25.06427 -25.06468 -25.06499 -25.06592 -25.06857 -25.07280 -25.08099 -25.10434
 -25.13878 -25.19465 -25.30696 -25.42465 -25.57500 -25.83594 -26.06696 -26.30245
 -24.98702 -24.98702 -24.98702 -24.98701 -24.98702 -24.98702 -24.98700 -24.98702
 -24.98714 -24.98752 -24.98773 -24.98787 -24.99066 -24.99528 -25.00231 -25.02456
 -25.05874 -25.11358 -25.22520 -25.34329 -25.49408 -25.75581 -25.98762 -26.22393
 -24.93520 -24.93520 -24.93520 -24.93520 -24.93520 -24.93520 -24.93518 -24.93520
 -24.93526 -24.93491 -24.93476 -24.93563 -24.93882 -24.94279 -24.94906 -24.97007
 -25.00257 -25.05466 -25.16279 -25.27869 -25.42719 -25.68655 -25.91713 -26.15229
 -24.91947 -24.91947 -24.91947 -24.91947 -24.91947 -24.91946 -24.91950 -24.91947
 -24.91937 -24.91996 -24.92119 -24.92276 -24.92397 -24.92663 -24.93473 -24.95548
 -24.98479 -25.03437 -25.13951 -25.25272 -25.39830 -25.65369 -25.88126 -26.11341
 -24.91830 -24.91830 -24.91830 -24.91831 -24.91830 -24.91829 -24.91836 -24.91830
 -24.91806 -24.91936 -24.92110 -24.92195 -24.92300 -24.92601 -24.93310 -24.95047
 -24.97691 -25.02443 -25.12604 -25.23578 -25.37813 -25.62881 -25.85230 -26.08030
 -24.92997 -24.92997 -24.92997 -24.92997 -24.92997 -24.92998 -24.92995 -24.92997
 -24.93004 -24.92970 -24.92967 -24.93072 -24.93281 -24.93548 -24.94103 -24.95753
 -24.98288 -25.02595 -25.12048 -25.22573 -25.36388 -25.60824 -25.82629 -26.04877
