   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 11/06/14
 -72.91361 -72.91361 -72.91361 -72.91361 -72.91361 -72.91360 -72.91363 -72.91361
 -72.91349 -72.91400 -72.91361 -72.91201 -72.91916 -72.91361 -72.89137 -72.99110
 -72.91361 -72.60342 -73.99497 -72.91397 -65.82752 -60.36905 -62.12078 -64.68691
 -47.79241 -47.79241 -47.79241 -47.79241 -47.79241 -47.79242 -47.79241 -47.79241
 -47.79244 -47.79232 -47.79242 -47.79280 -47.79108 -47.79242 -47.79777 -47.77376
 -47.79238 -47.86697 -47.53197 -47.79257 -49.49948 -50.81508 -50.39452 -49.77790
 -40.98326 -40.98326 -40.98326 -40.98326 -40.98326 -40.98326 -40.98326 -40.98326
 -40.98326 -40.98327 -40.98326 -40.98320 -40.98346 -40.98326 -40.98245 -40.98609
 -40.98343 -40.97254 -41.02326 -40.98516 -40.73182 -40.54276 -40.61493 -40.71689
 -36.34768 -36.34768 -36.34768 -36.34768 -36.34768 -36.34768 -36.34768 -36.34768
 -36.34768 -36.34768 -36.34769 -36.34770 -36.34766 -36.34769 -36.34782 -36.34723
 -36.34874 -36.35267 -36.34045 -36.35569 -36.43710 -36.51624 -36.52262 -36.52156
 -33.36810 -33.36810 -33.36810 -33.36810 -33.36810 -33.36810 -33.36810 -33.36810
 -33.36811 -33.36808 -33.36804 -33.36803 -33.36807 -33.36804 -33.36793 -33.36888
 -33.36921 -33.36852 -33.37760 -33.38186 -33.37181 -33.39828 -33.45590 -33.51866
