   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
    4    2    2    1    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 15/03/13
 -36.63955 -36.64035 -36.63907 -36.63948 -36.63948 -36.63943 -36.63946 -36.63946
 -36.63945 -36.63946 -36.63945 -36.63944 -36.63955 -36.63975 -36.63983 -36.63989
 -36.64048 -36.64197 -36.64416 -36.64984 -36.65992 -36.67100 -36.68207 -36.69315
 -33.11068 -33.11042 -33.11084 -33.11071 -33.11071 -33.11072 -33.11071 -33.11072
 -33.11071 -33.11072 -33.11072 -33.11063 -33.11076 -33.11122 -33.11190 -33.11273
 -33.11415 -33.11633 -33.11870 -33.12543 -33.13820 -33.15235 -33.16649 -33.18064
 -30.65645 -30.65645 -30.65644 -30.65645 -30.65645 -30.65645 -30.65645 -30.65645
 -30.65645 -30.65644 -30.65645 -30.65651 -30.65633 -30.65658 -30.65807 -30.65932
 -30.66170 -30.66632 -30.67064 -30.68267 -30.70617 -30.73231 -30.75845 -30.78458
 -28.88341 -28.88340 -28.88341 -28.88341 -28.88341 -28.88341 -28.88340 -28.88340
 -28.88342 -28.88338 -28.88341 -28.88377 -28.88407 -28.88452 -28.88590 -28.88859
 -28.89351 -28.90168 -28.91505 -28.94940 -29.00880 -29.07388 -29.13896 -29.20405
 -27.57490 -27.57490 -27.57489 -27.57489 -27.57489 -27.57489 -27.57490 -27.57490
 -27.57489 -27.57490 -27.57489 -27.57479 -27.57480 -27.57534 -27.57722 -27.58200
 -27.59160 -27.60875 -27.63984 -27.71310 -27.83392 -27.96546 -28.09701 -28.22857
 -26.60437 -26.60437 -26.60437 -26.60437 -26.60437 -26.60437 -26.60437 -26.60437
 -26.60436 -26.60439 -26.60437 -26.60431 -26.60516 -26.60726 -26.61054 -26.61667
 -26.63069 -26.65935 -26.71088 -26.81416 -26.97204 -27.14218 -27.31234 -27.48251
 -25.89860 -25.89860 -25.89860 -25.89860 -25.89860 -25.89861 -25.89860 -25.89860
 -25.89862 -25.89857 -25.89856 -25.89887 -25.89916 -25.90051 -25.90503 -25.91353
 -25.93084 -25.96592 -26.03081 -26.14617 -26.30898 -26.48238 -26.65579 -26.82920
