   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 15/03/13
 -29.93236 -29.90971 -29.88332 -29.85180 -29.81392 -29.76759 -29.71287 -29.64999
 -29.57687 -29.48916 -29.38222 -29.25281 -29.10073 -28.92848 -28.74368 -28.56299
 -28.40930 -28.29967 -28.23264 -28.19913 -28.18499 -28.17498 -28.16497 -28.15496
 -30.08706 -30.07162 -30.05225 -30.02994 -30.00560 -29.97489 -29.93643 -29.89134
 -29.84059 -29.77922 -29.70255 -29.60909 -29.49700 -29.36676 -29.22335 -29.07777
 -28.95006 -28.85804 -28.80303 -28.77489 -28.75994 -28.74773 -28.73553 -28.72333
 -30.22778 -30.21775 -30.20564 -30.19106 -30.17375 -30.15269 -30.12775 -30.09869
 -30.06412 -30.02229 -29.97053 -29.90567 -29.82716 -29.73553 -29.63322 -29.52737
 -29.43558 -29.37322 -29.33732 -29.31957 -29.31082 -29.30393 -29.29705 -29.29017
 -30.35174 -30.34590 -30.33874 -30.32983 -30.31902 -30.30587 -30.29065 -30.27323
 -30.25204 -30.22512 -30.19122 -30.15007 -30.10110 -30.04314 -29.97720 -29.91180
 -29.85771 -29.82158 -29.80070 -29.79103 -29.78779 -29.78591 -29.78404 -29.78216
 -30.21619 -30.21555 -30.21412 -30.21222 -30.20984 -30.20615 -30.20127 -30.19544
 -30.18808 -30.17866 -30.16638 -30.15029 -30.13064 -30.10720 -30.08019 -30.05351
 -30.03197 -30.01832 -30.01086 -30.00733 -30.00570 -30.00446 -30.00322 -30.00197
 -29.47868 -29.48204 -29.48589 -29.49023 -29.49363 -29.49715 -29.50067 -29.50380
 -29.50702 -29.51080 -29.51399 -29.51482 -29.51624 -29.51821 -29.51830 -29.51894
 -29.52020 -29.52054 -29.51996 -29.51953 -29.51990 -29.52043 -29.52096 -29.52151
 -28.75469 -28.76020 -28.76497 -28.76932 -28.77395 -28.77886 -28.78401 -28.78976
 -28.79646 -28.80266 -28.80727 -28.81095 -28.81395 -28.81654 -28.81911 -28.82214
 -28.82517 -28.82718 -28.82848 -28.82923 -28.82954 -28.82987 -28.83039 -28.83103
 -28.30241 -28.30809 -28.31272 -28.31724 -28.32264 -28.32865 -28.33502 -28.34252
 -28.35244 -28.36246 -28.37005 -28.37555 -28.38017 -28.38465 -28.38927 -28.39483
 -28.40049 -28.40432 -28.40634 -28.40733 -28.40811 -28.40912 -28.41058 -28.41247
 -28.05826 -28.06405 -28.06956 -28.07466 -28.07971 -28.08555 -28.09311 -28.10311
 -28.11505 -28.12764 -28.13852 -28.14630 -28.15165 -28.15646 -28.16246 -28.16941
 -28.17650 -28.18190 -28.18469 -28.18580 -28.18666 -28.18765 -28.18912 -28.19136
 -27.96651 -27.97254 -27.97914 -27.98456 -27.98831 -27.99504 -28.00429 -28.01479
 -28.02830 -28.04298 -28.05524 -28.06398 -28.07021 -28.07561 -28.08173 -28.08914
 -28.09692 -28.10264 -28.10568 -28.10673 -28.10704 -28.10726 -28.10757 -28.10794
 -27.98434 -27.99031 -27.99652 -28.00176 -28.00598 -28.01325 -28.02235 -28.03209
 -28.04554 -28.06018 -28.07187 -28.08014 -28.08597 -28.09084 -28.09626 -28.10337
 -28.11096 -28.11607 -28.11841 -28.11877 -28.11841 -28.11751 -28.11590 -28.11357
 -28.07594 -28.08173 -28.08720 -28.09257 -28.09811 -28.10417 -28.11185 -28.12214
