    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 0  /--------/ Z1= 1   / DATE= 18/07/15
 -29.40415 -29.38393 -29.36094 -29.32620 -29.29569 -29.26020 -29.20391 -29.15331
 -29.09548 -29.00881 -28.93379 -28.84766 -28.71492 -28.59855 -28.46681 -28.26881
 -28.09881 -27.90920 -27.63526 -27.41434 -27.18730 -26.91474 -26.73193 -26.55231
 -29.56217 -29.54794 -29.53132 -29.50701 -29.48581 -29.46009 -29.41930 -29.38286
 -29.34070 -29.27677 -29.22101 -29.15678 -29.05816 -28.97140 -28.87186 -28.72050
 -28.58929 -28.44157 -28.22441 -28.04238 -27.84601 -27.60298 -27.43790 -27.27539
 -29.74829 -29.73952 -29.72995 -29.71425 -29.69987 -29.68376 -29.65743 -29.63343
 -29.60675 -29.56520 -29.52789 -29.48516 -29.41856 -29.35970 -29.29312 -29.19061
 -29.10044 -28.99845 -28.84363 -28.70967 -28.56447 -28.39306 -28.28368 -28.17708
 -29.86315 -29.85771 -29.85034 -29.83867 -29.82851 -29.81646 -29.79740 -29.78026
 -29.76033 -29.72917 -29.70150 -29.66961 -29.61875 -29.57390 -29.52442 -29.44732
 -29.37870 -29.30143 -29.18174 -29.07776 -28.96845 -28.84792 -28.77694 -28.70872
 -29.98218 -29.97758 -29.97127 -29.96461 -29.95966 -29.95105 -29.93676 -29.92500
 -29.91166 -29.88986 -29.86988 -29.84708 -29.81054 -29.77793 -29.74182 -29.68675
 -29.63772 -29.58106 -29.49327 -29.41827 -29.34116 -29.26228 -29.22083 -29.18185
 -29.91698 -29.91775 -29.91920 -29.92076 -29.92065 -29.91927 -29.91653 -29.91375
 -29.90976 -29.90218 -29.89441 -29.88470 -29.86937 -29.85531 -29.83820 -29.81127
 -29.78672 -29.75700 -29.70966 -29.66982 -29.63060 -29.59220 -29.57290 -29.55493
 -29.60181 -29.60938 -29.61690 -29.62558 -29.63078 -29.63518 -29.64172 -29.64596
 -29.64752 -29.65018 -29.65231 -29.65165 -29.65037 -29.64932 -29.64603 -29.63908
 -29.63160 -29.62118 -29.60374 -29.58907 -29.57470 -29.56059 -29.55344 -29.54676
 -29.06449 -29.07442 -29.08389 -29.09546 -29.10398 -29.11282 -29.12357 -29.13094
 -29.13833 -29.14694 -29.15288 -29.15916 -29.16531 -29.16867 -29.17271 -29.17692
 -29.17912 -29.18166 -29.18466 -29.18580 -29.18578 -29.18621 -29.18739 -29.18869
 -28.65334 -28.66368 -28.67486 -28.68835 -28.69771 -28.70780 -28.71986 -28.72779
 -28.73581 -28.74529 -28.75208 -28.75962 -28.76732 -28.77184 -28.77734 -28.78219
 -28.78444 -28.78809 -28.79171 -28.79256 -28.79295 -28.79437 -28.79623 -28.79820
 -28.53248 -28.54441 -28.55525 -28.56929 -28.57951 -28.58843 -28.60048 -28.61009
 -28.61910 -28.62984 -28.63707 -28.64360 -28.65205 -28.65774 -28.66195 -28.66765
 -28.67191 -28.67461 -28.67701 -28.67872 -28.68033 -28.68212 -28.68324 -28.68433
 -28.50033 -28.51200 -28.52340 -28.53793 -28.54821 -28.55768 -28.57098 -28.58125
 -28.59012 -28.60071 -28.60840 -28.61566 -28.62396 -28.62931 -28.63427 -28.64015
 -28.64396 -28.64717 -28.65044 -28.65220 -28.65343 -28.65483 -28.65595 -28.65708
 -28.55164 -28.56278 -28.57395 -28.58910 -28.60028 -28.61046 -28.62364 -28.63357
 -28.64287 -28.65410 -28.66181 -28.66890 -28.67789 -28.68444 -28.69036 -28.69606
 -28.69950 -28.70335 -28.70638 -28.70720 -28.70850 -28.71048 -28.71184 -28.71317
 -28.62936 -28.64070 -28.65180 -28.66727 -28.67862 -28.68817 -28.70152 -28.71214
 -28.72126 -28.73289 -28.74143 -28.74867 -28.75767 -28.76411 -28.76950 -28.77621
 -28.78064 -28.78342 -28.78568 -28.78729 -28.78913 -28.79095 -28.79171 -28.79240
 -28.77966 -28.79033 -28.80264 -28.81925 -28.83047 -28.84023 -28.85391 -28.86470
 -28.87407 -28.88542 -28.89365 -28.90137 -28.91155 -28.91805 -28.92212 -28.92855
 -28.93384 -28.93651 -28.93874 -28.94091 -28.94314 -28.94437 -28.94400 -28.94345
 -29.01763 -29.02933 -29.04146 -29.05748 -29.06886 -29.07906 -29.09232 -29.10261
 -29.11259 -29.12490 -29.13338 -29.14114 -29.15070 -29.15721 -29.16267 -29.16899
 -29.17317 -29.17653 -29.18010 -29.18225 -29.18384 -29.18505 -29.18554 -29.18597
 -29.19112 -29.20271 -29.21432 -29.22907 -29.23974 -29.25023 -29.26431 -29.27480
 -29.28456 -29.29679 -29.30532 -29.31279 -29.32241 -29.32916 -29.33440 -29.34067
 -29.34505 -29.34829 -29.35156 -29.35372 -29.35554 -29.35694 -29.35736 -29.35769
 -29.38411 -29.39495 -29.40597 -29.42110 -29.43205 -29.44157 -29.45493 -29.46553
 -29.47486 -29.48683 -29.49557 -29.50300 -29.51215 -29.51871 -29.52427 -29.53011
 -29.53385 -29.53743 -29.54125 -29.54332 -29.54489 -29.54606 -29.54644 -29.54676
 -29.60756 -29.61756 -29.62839 -29.64224 -29.65213 -29.66213 -29.67460 -29.68367
 -29.69307 -29.70461 -29.71219 -29.71915 -29.72809 -29.73451 -29.74003 -29.74520
 -29.74848 -29.75247 -29.75632 -29.75802 -29.75985 -29.76092 -29.76054 -29.76000
