   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 0  /--------/ Z1= 1   / DATE= 11/06/14
 -29.68640 -29.66291 -29.63547 -29.59488 -29.56026 -29.52011 -29.45737 -29.40196
 -29.33935 -29.24650 -29.16697 -29.07661 -28.93963 -28.82067 -28.68571 -28.48156
 -28.30639 -28.11178 -27.82433 -27.58620 -27.33452 -26.99308 -26.73352 -26.47381
 -29.85560 -29.83847 -29.81828 -29.78831 -29.76250 -29.73218 -29.68437 -29.64267
 -29.59644 -29.52574 -29.46433 -29.39622 -29.29166 -29.19882 -29.09305 -28.93424
 -28.79665 -28.63953 -28.40326 -28.20216 -27.98044 -27.66530 -27.41881 -27.17128
 -30.05583 -30.04524 -30.03223 -30.01168 -29.99362 -29.97291 -29.94042 -29.91139
 -29.87848 -29.83053 -29.78913 -29.74022 -29.66453 -29.59882 -29.52462 -29.41101
 -29.31138 -29.19846 -29.02674 -28.87299 -28.69258 -28.42963 -28.22370 -28.01689
 -30.17959 -30.17105 -30.16137 -30.14710 -30.13436 -30.11878 -30.09419 -30.07194
 -30.04573 -30.00845 -29.97663 -29.93778 -29.87754 -29.82587 -29.76782 -29.67884
 -29.60022 -29.51029 -29.37252 -29.24632 -29.09458 -28.87803 -28.71332 -28.54855
 -30.30792 -30.30171 -30.29474 -30.28415 -30.27477 -30.26379 -30.24546 -30.22886
 -30.21061 -30.18240 -30.15717 -30.12835 -30.08299 -30.04309 -29.99887 -29.93111
 -29.87126 -29.80301 -29.69483 -29.59313 -29.47191 -29.30729 -29.18784 -29.06913
