   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
    4    2    2    1    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IPRT= 1  / IGRD= 0  /--------/ Z1= 1   / DATE= 15/03/13
 -29.93236 -29.90971 -29.88332 -29.85180 -29.81392 -29.76759 -29.71287 -29.64999
 -29.57687 -29.48916 -29.38225 -29.25288 -29.10082 -28.92858 -28.74377 -28.56308
 -28.40937 -28.29973 -28.23270 -28.19919 -28.18504 -28.17502 -28.16501 -28.15499
 -30.08706 -30.07162 -30.05225 -30.02994 -30.00560 -29.97489 -29.93643 -29.89134
 -29.84059 -29.77922 -29.70254 -29.60906 -29.49697 -29.36673 -29.22331 -29.07774
 -28.95004 -28.85802 -28.80301 -28.77487 -28.75992 -28.74772 -28.73552 -28.72331
 -30.22778 -30.21775 -30.20564 -30.19106 -30.17375 -30.15269 -30.12775 -30.09869
 -30.06412 -30.02229 -29.97053 -29.90567 -29.82716 -29.73553 -29.63322 -29.52737
 -29.43558 -29.37322 -29.33732 -29.31957 -29.31082 -29.30393 -29.29705 -29.29017
 -30.35174 -30.34590 -30.33874 -30.32983 -30.31901 -30.30587 -30.29064 -30.27322
 -30.25202 -30.22509 -30.19119 -30.15003 -30.10105 -30.04309 -29.97715 -29.91174
 -29.85765 -29.82152 -29.80063 -29.79097 -29.78773 -29.78585 -29.78398 -29.78210
 -30.21619 -30.21555 -30.21411 -30.21220 -30.20980 -30.20607 -30.20112 -30.19517
 -30.18764 -30.17806 -30.16566 -30.14949 -30.12979 -30.10630 -30.07923 -30.05249
 -30.03089 -30.01720 -30.00972 -30.00618 -30.00454 -30.00330 -30.00206 -30.00081
 -29.47867 -29.48201 -29.48583 -29.49011 -29.49337 -29.49659 -29.49954 -29.50172
 -29.50367 -29.50616 -29.50839 -29.50858 -29.50957 -29.51110 -29.51059 -29.51049
 -29.51102 -29.51083 -29.50993 -29.50934 -29.50957 -29.51000 -29.51044 -29.51087
 -28.75467 -28.76014 -28.76482 -28.76901 -28.77326 -28.77739 -28.78103 -28.78420
 -28.78741 -28.78996 -28.79169 -28.79351 -28.79519 -28.79633 -28.79693 -28.79753
 -28.79800 -28.79809 -28.79822 -28.79832 -28.79823 -28.79810 -28.79797 -28.79784
