   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
    4    2    2    1    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 2  / JGRD= 1  /--------/ Z1= 1   / DATE= 15/03/13
 -10.23533 -10.40883 -10.51742 -10.57620 -10.60564 -10.62044 -10.62735 -10.62978
 -10.63117 -10.63190 -10.63181 -10.63152 -10.63140 -10.63146 -10.63148 -10.63156
 -10.63173 -10.63193 -10.63205 -10.63185 -10.63128 -10.63062 -10.62997 -10.62931
 -10.22965 -10.40047 -10.50631 -10.56377 -10.59370 -10.60743 -10.61281 -10.61522
 -10.61671 -10.61733 -10.61722 -10.61730 -10.61734 -10.61723 -10.61714 -10.61683
 -10.61622 -10.61548 -10.61501 -10.61572 -10.61781 -10.62021 -10.62260 -10.62500
 -10.22542 -10.39421 -10.49849 -10.55487 -10.58383 -10.59734 -10.60287 -10.60520
 -10.60664 -10.60726 -10.60716 -10.60713 -10.60716 -10.60717 -10.60720 -10.60720
 -10.60740 -10.60759 -10.60666 -10.60507 -10.60356 -10.60208 -10.60060 -10.59913
 -10.21978 -10.38560 -10.48870 -10.54425 -10.57107 -10.58366 -10.58929 -10.59152
 -10.59282 -10.59344 -10.59340 -10.59335 -10.59344 -10.59245 -10.58852 -10.58116
 -10.56729 -10.54264 -10.50597 -10.46698 -10.43277 -10.39974 -10.36672 -10.33369
 -10.16848 -10.31238 -10.39761 -10.44214 -10.46352 -10.47325 -10.47753 -10.47923
 -10.47904 -10.47778 -10.47492 -10.46760 -10.45201 -10.42321 -10.37507 -10.30071
 -10.19468 -10.06067  -9.92163  -9.83522  -9.81900  -9.81876  -9.81854  -9.81832
  -9.96199 -10.04615 -10.09001 -10.11085 -10.12044 -10.12480 -10.12623 -10.12548
 -10.12266 -10.11522 -10.09899 -10.06764 -10.01007  -9.91883  -9.79194  -9.63039
  -9.44978  -9.27893  -9.15416  -9.12559  -9.19146  -9.27845  -9.36546  -9.45247
  -9.60895  -9.64355  -9.65991  -9.66720  -9.66992  -9.67158  -9.67156  -9.66861
  -9.66325  -9.65009  -9.62191  -9.57095  -9.48560  -9.36198  -9.20592  -9.02717
  -8.84551  -8.69132  -8.60237  -8.61746  -8.72509  -8.85326  -8.98146  -9.10966
