   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 19/04/20
 -55.82062 -55.43989 -55.05410 -54.54164 -54.15191 -53.75825 -53.23447 -52.83390
 -52.42560 -51.87545 -51.44955 -51.01083 -50.40644 -49.92872 -49.43501 -48.77573
 -48.28976 -47.82982 -47.27743 -46.90097 -46.55374 -46.03920 -45.82175 -45.53361
 -39.43255 -39.44994 -39.46652 -39.48520 -39.49253 -39.48416 -39.41257 -39.26929
 -39.02405 -38.57169 -38.17491 -37.75211 -37.16635 -36.70507 -36.22929 -35.59404
 -35.12640 -34.68345 -34.11915 -33.75712 -33.45553 -33.03754 -32.73182 -32.42654
 -27.60323 -27.60051 -27.59773 -27.59377 -27.59015 -27.58510 -27.57277 -27.55144
 -27.50437 -27.35753 -27.14184 -26.83045 -26.31917 -25.89404 -25.45523 -24.87557
 -24.45166 -24.05056 -23.56191 -23.22252 -22.90645 -22.53544 -22.28162 -22.03138
 -22.15538 -22.15616 -22.15694 -22.15790 -22.15851 -22.15887 -22.15816 -22.15530
 -22.14722 -22.11390 -22.04823 -21.91499 -21.59331 -21.24746 -20.85168 -20.30621
 -19.90287 -19.52088 -19.05715 -18.74201 -18.46088 -18.15203 -17.95210 -17.75657
 -18.14508 -18.14483 -18.14457 -18.14424 -18.14394 -18.14354 -18.14307 -18.14182
 -18.13831 -18.12881 -18.10951 -18.06078 -17.89845 -17.66326 -17.34013 -16.84764
 -16.47027 -16.10896 -15.67729 -15.39913 -15.17003 -14.93032 -14.77611 -14.62542
