    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 18/07/15
 -39.54252 -39.59574 -39.64111 -39.64626 -39.57801 -39.43205 -39.14933 -38.88727
 -38.58980 -38.13437 -37.74702 -37.33519 -36.76818 -36.33469 -35.90939 -35.37681
 -35.00485 -34.66161 -34.23996 -33.93587 -33.63902 -33.25598 -32.97077 -32.68616
 -28.96383 -28.94431 -28.92531 -28.91258 -28.91846 -28.93850 -28.97227 -28.97873
 -28.93865 -28.76648 -28.54110 -28.25171 -27.79337 -27.40908 -27.01286 -26.50516
 -26.14693 -25.81110 -25.38641 -25.07303 -24.76597 -24.36895 -24.07280 -23.77720
 -20.56853 -20.57145 -20.57424 -20.57617 -20.57510 -20.57135 -20.56467 -20.56022
 -20.55755 -20.55748 -20.55145 -20.52277 -20.39981 -20.21979 -19.96642 -19.57013
 -19.25409 -18.93656 -18.52292 -18.21531 -17.91131 -17.52299 -17.23820 -16.95462
 -16.96384 -16.96297 -16.96212 -16.96167 -16.96189 -16.96235 -16.96374 -16.96484
 -16.96465 -16.95932 -16.94996 -16.93355 -16.88273 -16.79705 -16.64762 -16.35504
 -16.08080 -15.78437 -15.38786 -15.09345 -14.80417 -14.43900 -14.17383 -13.91014
 -14.24777 -14.24804 -14.24830 -14.24840 -14.24835 -14.24831 -14.24772 -14.24677
 -14.24574 -14.24509 -14.24285 -14.23459 -14.20473 -14.15330 -14.05946 -13.84541
 -13.62113 -13.36609 -13.01709 -12.75685 -12.50205 -12.18572 -11.95973 -11.73552
 -12.09706 -12.09704 -12.09701 -12.09716 -12.09708 -12.09651 -12.09653 -12.09657
 -12.09529 -12.09345 -12.09075 -12.08363 -12.06282 -12.02821 -11.96275 -11.80341
 -11.62893 -11.42591 -11.15112 -10.94850 -10.74819 -10.50640 -10.34043 -10.17674
 -10.99896 -10.99881 -10.99859 -10.99858 -10.99835 -10.99737 -10.99654 -10.99639
 -10.99578 -10.99355 -10.99020 -10.98419 -10.96552 -10.93511 -10.88029 -10.74536
 -10.59643 -10.42426 -10.19617 -10.03167  -9.87064  -9.68146  -9.55539  -9.43162
  -9.87477  -9.87421  -9.87384  -9.87308  -9.87243  -9.87212  -9.87106  -9.86956
  -9.86788  -9.86499  -9.86126  -9.85471  -9.83748  -9.81142  -9.76521  -9.65362
  -9.53197  -9.39265  -9.21128  -9.08414  -8.96377  -8.83088  -8.74780  -8.66709
  -8.92536  -8.92513  -8.92434  -8.92285  -8.92172  -8.92072  -8.91915  -8.91751
  -8.91533  -8.91097  -8.90630  -8.89986  -8.88379  -8.86149  -8.82499  -8.73682
  -8.63941  -8.52724  -8.38213  -8.28313  -8.19345  -8.10127  -8.04787  -7.99667
  -8.48355  -8.48321  -8.48242  -8.48107  -8.47990  -8.47857  -8.47695  -8.47558
  -8.47343  -8.46886  -8.46423  -8.45838  -8.44425  -8.42485  -8.39348  -8.31844
  -8.23441  -8.13512  -8.00477  -7.91651  -7.83892  -7.76233  -7.71973  -7.67918
  -8.12355  -8.12328  -8.12207  -8.12063  -8.12027  -8.12009  -8.11843  -8.11604
  -8.11352  -8.11053  -8.10729  -8.10137  -8.08867  -8.07314  -8.04793  -7.98533
  -7.91350  -7.82726  -7.71170  -7.63258  -7.56389  -7.49835  -7.46352  -7.43066
  -7.81273  -7.81175  -7.81037  -7.80980  -7.81003  -7.80947  -7.80764  -7.80584
  -7.80398  -7.80169  -7.79907  -7.79428  -7.78472  -7.77318  -7.75382  -7.70462
  -7.64673  -7.57513  -7.47581  -7.40631  -7.34622  -7.28887  -7.25814  -7.22910
  -7.63997  -7.63897  -7.63932  -7.63974  -7.63911  -7.63792  -7.63631  -7.63536
  -7.63444  -7.63175  -7.62878  -7.62580  -7.61945  -7.60989  -7.59294  -7.55156
  -7.50281  -7.44039  -7.35124  -7.28775  -7.23262  -7.17972  -7.15112  -7.12406
  -7.45366  -7.45396  -7.45398  -7.45311  -7.45248  -7.45265  -7.45230  -7.45145
  -7.45081  -7.44892  -7.44672  -7.44452  -7.43912  -7.43120  -7.41813  -7.38631
  -7.34727  -7.29497  -7.21806  -7.16222  -7.11313  -7.06590  -7.04052  -7.01652
  -7.29034  -7.28970  -7.28961  -7.28989  -7.28983  -7.28926  -7.28846  -7.28801
  -7.28749  -7.28656  -7.28552  -7.28389  -7.27998  -7.27460  -7.26541  -7.24152
  -7.21114  -7.16962  -7.10551  -7.05663  -7.01261  -6.96953  -6.94609  -6.92387
  -7.21603  -7.21582  -7.21577  -7.21588  -7.21583  -7.21543  -7.21476  -7.21441
  -7.21418  -7.21345  -7.21251  -7.21143  -7.20856  -7.20418  -7.19659  -7.17699
  -7.15127  -7.11472  -7.05787  -7.01378  -6.97223  -6.93010  -6.90675  -6.88455
  -7.16209  -7.16224  -7.16229  -7.16216  -7.16198  -7.16174  -7.16121  -7.16092
  -7.16103  -7.16062  -7.15977  -7.15887  -7.15644  -7.15280  -7.14673  -7.13077
  -7.10910  -7.07728  -7.02534  -6.98426  -6.94639  -6.90710  -6.88394  -6.86167
  -7.12389  -7.12370  -7.12371  -7.12355  -7.12337  -7.12345  -7.12319  -7.12284
  -7.12288  -7.12242  -7.12165  -7.12103  -7.11952  -7.11690  -7.11197  -7.09882
  -7.08067  -7.05327  -7.00639  -6.96783  -6.93156  -6.89332  -6.87051  -6.84851
