   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 19/04/20
 -57.18027 -57.12815 -57.07585 -57.00668 -56.95421 -56.90117 -56.82897 -56.77016
 -56.70247 -56.57878 -56.44801 -56.28249 -56.02419 -55.82428 -55.65330 -55.51700
 -55.31265 -54.97050 -55.62045 -54.83170 -50.39978 -46.74968 -47.43174 -48.59097
 -39.43280 -39.45060 -39.46825 -39.49131 -39.50828 -39.52416 -39.54022 -39.54217
 -39.52283 -39.41591 -39.24266 -38.97801 -38.51666 -38.09463 -37.60950 -36.89880
 -36.37505 -35.89236 -35.03039 -34.73194 -35.35270 -35.69296 -35.14278 -34.48053
 -27.60327 -27.60060 -27.59794 -27.59447 -27.59186 -27.58933 -27.58664 -27.58526
 -27.58478 -27.58886 -27.59476 -27.59621 -27.55481 -27.44695 -27.23754 -26.82877
 -26.46152 -26.09100 -25.67368 -25.34045 -24.89510 -24.40555 -24.16669 -23.94597
 -22.15538 -22.15618 -22.15697 -22.15800 -22.15878 -22.15953 -22.16034 -22.16074
 -22.16070 -22.15789 -22.15163 -22.14001 -22.11220 -22.05869 -21.94363 -21.65565
 -21.35883 -21.04688 -20.64568 -20.38373 -20.17900 -19.90578 -19.67119 -19.43267
 -18.14508 -18.14483 -18.14458 -18.14427 -18.14401 -18.14373 -18.14370 -18.14340
 -18.14225 -18.14202 -18.14242 -18.14066 -18.12930 -18.10149 -18.03792 -17.85355
 -17.63874 -17.38978 -17.07118 -16.84968 -16.63367 -16.38461 -16.22288 -16.06477
