   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
    4    2    2    1    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 18/03/13
 -22.95533 -22.84150 -22.72728 -22.61057 -22.48991 -22.36582 -22.23382 -22.09034
 -21.93750 -21.76978 -21.58522 -21.39124 -21.19678 -21.01730 -20.86166 -20.70369
 -20.51470 -20.27864 -19.99989 -19.69261 -19.37214 -19.04896 -18.72577 -18.40258
 -18.07307 -17.97176 -17.86789 -17.76054 -17.64898 -17.53194 -17.40791 -17.27649
 -17.13891 -16.99299 -16.83731 -16.67551 -16.51990 -16.38633 -16.28364 -16.19702
 -16.09898 -15.96061 -15.76422 -15.51122 -15.22147 -14.92379 -14.62609 -14.32840
 -14.63321 -14.56287 -14.48580 -14.40231 -14.31291 -14.21583 -14.11116 -13.99939
 -13.87968 -13.75264 -13.61899 -13.48191 -13.35665 -13.25656 -13.18380 -13.12296
 -13.05332 -12.95212 -12.79762 -12.58430 -12.32925 -12.06511 -11.80095 -11.53680
 -12.15646 -12.11854 -12.07456 -12.02351 -11.96420 -11.89637 -11.81988 -11.73454
 -11.64020 -11.53750 -11.42785 -11.31600 -11.21664 -11.14010 -11.08467 -11.03426
 -10.97059 -10.87503 -10.73043 -10.54153 -10.32707 -10.10718  -9.88728  -9.66738
 -10.40377 -10.38384 -10.35953 -10.33002 -10.29482 -10.25293 -10.20244 -10.14262
 -10.07514  -9.99806  -9.91260  -9.82697  -9.75201  -9.69408  -9.64967  -9.60202
  -9.53580  -9.43786  -9.29790  -9.13758  -8.97864  -8.82033  -8.66202  -8.50371
  -9.16698  -9.15670  -9.14316  -9.12624  -9.10605  -9.08025  -9.04824  -9.00992
  -8.96398  -8.90951  -8.84824  -8.78618  -8.73284  -8.68993  -8.64991  -8.60307
  -8.53592  -8.43697  -8.30663  -8.17387  -8.05769  -7.94551  -7.83334  -7.72117
  -8.30421  -8.29779  -8.28935  -8.27897  -8.26671  -8.25163  -8.23153  -8.20527
  -8.17439  -8.13756  -8.09484  -8.05051  -8.01150  -7.97898  -7.94607  -7.90119
  -7.83366  -7.73790  -7.61874  -7.50456  -7.41107  -7.32246  -7.23385  -7.14524
