    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 2  / JPRT= 1  /--------/ Z1= 1   / DATE= 18/07/15
 -10.59630 -10.29983 -10.00184  -9.60676  -9.30786  -9.01029  -8.62286  -8.33753
  -8.06170  -7.71621  -7.47270  -7.24703  -6.97709  -6.79459  -6.63037  -6.43690
  -6.30530  -6.18419  -6.03581  -5.93061  -5.83065  -5.70222  -5.60573  -5.50932
 -10.93515 -10.64171 -10.34457  -9.94967  -9.65099  -9.35325  -8.96419  -8.67593
  -8.39544  -8.04205  -7.79114  -7.55652  -7.27583  -7.08636  -6.91505  -6.71481
  -6.58032  -6.45704  -6.30776  -6.20305  -6.10357  -5.97616  -5.88084  -5.78565
 -11.36208 -11.07295 -10.77865 -10.38495 -10.08591  -9.78801  -9.39677  -9.10535
  -8.82134  -8.45896  -8.19802  -7.95288  -7.65714  -7.45692  -7.27761  -7.06877
  -6.92901  -6.80254  -6.65093  -6.54480  -6.44392  -6.31687  -6.22352  -6.13053
 -11.64102 -11.35619 -11.06442 -10.67218 -10.37346 -10.07584  -9.68411  -9.39108
  -9.10429  -8.73702  -8.47105  -8.21908  -7.91388  -7.70683  -7.52067  -7.30428
  -7.16054  -7.03130  -6.87659  -6.76868  -6.66721  -6.53995  -6.44631  -6.35301
 -11.93367 -11.65536 -11.36691 -10.97729 -10.67962 -10.38154  -9.98852  -9.69436
  -9.40553  -9.03344  -8.76278  -8.50597  -8.19199  -7.97665  -7.78248  -7.55766
  -7.40902  -7.27542  -7.11668  -7.00697  -6.90414  -6.77628  -6.68299  -6.59014
 -12.26239 -11.99424 -11.71031 -11.32382 -11.02765 -10.72940 -10.33634 -10.04175
  -9.75016  -9.37365  -9.09913  -8.83634  -8.51204  -8.28809  -8.08546  -7.85131
  -7.69674  -7.55733  -7.39347  -7.28172  -7.17689  -7.04689  -6.95246  -6.85856
 -12.49155 -12.23199 -11.95305 -11.56986 -11.27470 -10.97672 -10.58383 -10.28881
  -9.99551  -9.61643  -9.33946  -9.07257  -8.74183  -8.51270  -8.30426  -8.06237
  -7.90290  -7.75995  -7.59209  -7.47768  -7.37111  -7.23930  -7.14346  -7.04812
 -12.80703 -12.56285 -12.29384 -11.91643 -11.62267 -11.32621 -10.93300 -10.63654
 -10.34293  -9.96171  -9.68072  -9.40862  -9.06919  -8.83262  -8.61659  -8.36329
  -8.19578  -8.04781  -7.87476  -7.75677  -7.64793  -7.51418  -7.41703  -7.32040
 -13.19134 -12.97189 -12.71774 -12.35014 -12.06020 -11.76602 -11.37334 -11.07613
 -10.78183 -10.39803 -10.11296  -9.83508  -9.48629  -9.24122  -9.01507  -8.74799
  -8.57099  -8.41480  -8.23354  -8.11133  -7.99949  -7.86233  -7.76255  -7.66328
 -13.43488 -13.23364 -12.99268 -12.63537 -12.34906 -12.05613 -11.66391 -11.36669
 -11.07160 -10.68545 -10.39792 -10.11730  -9.76371  -9.51344  -9.28065  -9.00505
  -8.82221  -8.66002  -8.47227  -8.34641  -8.23132  -8.09162  -7.99116  -7.89138
 -13.68698 -13.50576 -13.27994 -12.93458 -12.65258 -12.36177 -11.97117 -11.67436
 -11.37836 -10.99079 -10.70250 -10.42052 -10.06114  -9.80420  -9.56517  -9.28109
  -9.09128  -8.92225  -8.72714  -8.59757  -8.48019  -8.33813  -8.23579  -8.13412
 -13.96405 -13.80616 -13.60084 -13.27237 -12.99632 -12.70948 -12.32137 -12.02490
 -11.72889 -11.33951 -11.04847 -10.76337 -10.39948 -10.13820  -9.89315  -9.59786
  -9.39912  -9.22346  -9.02162  -8.88737  -8.76564  -8.61953  -8.51530  -8.41189
 -14.15486 -14.01449 -13.82375 -13.50914 -13.23960 -12.95580 -12.56869 -12.27242
 -11.97691 -11.58710 -11.29465 -11.00781 -10.64099 -10.37659 -10.12736  -9.82577
  -9.62165  -9.43995  -9.23204  -9.09460  -8.96937  -8.81985  -8.71424  -8.60963
 -14.41964 -14.30165 -14.13101 -13.83796 -13.57943 -13.30086 -12.91752 -12.62286
 -12.32649 -11.93562 -11.64293 -11.35463 -10.98394 -10.71474 -10.45875 -10.14822
  -9.93743  -9.74778  -9.53004  -9.38731  -9.25882  -9.10602  -8.99785  -8.89066
 -14.74370 -14.65135 -14.50996 -14.24728 -14.00260 -13.73349 -13.35698 -13.06380
 -12.76692 -12.37583 -12.08294 -11.79228 -11.41643 -11.14274 -10.88150 -10.55951
 -10.33824 -10.14016  -9.91192  -9.76154  -9.62733  -9.46956  -9.35867  -9.24890
 -14.95358 -14.87606 -14.75253 -14.51110 -14.27795 -14.01646 -13.64417 -13.35200
 -13.05672 -12.66558 -12.37151 -12.08092 -11.70314 -11.42582 -11.16071 -10.83282
 -10.60600 -10.40156 -10.16551 -10.01025  -9.87185  -9.71000  -9.59686  -9.48494
 -15.17282 -15.10849 -15.00311 -14.78595 -14.56671 -14.31377 -13.94808 -13.65899
 -13.36515 -12.97381 -12.67847 -12.38617 -12.00591 -11.72622 -11.45777 -11.12420
 -10.89197 -10.68095 -10.43645 -10.27560 -10.13219  -9.96612  -9.85140  -9.73813
 -15.42186 -15.36997 -15.28214 -15.09199 -14.89081 -14.64970 -14.29267 -14.00698
 -13.71480 -13.32425 -13.02867 -12.73519 -12.35261 -12.07037 -11.79799 -11.45729
 -11.21857 -11.00050 -10.74667 -10.57959 -10.43127 -10.26017 -10.14216 -10.02566
