   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
    4    2    2    1    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IPRT= 2  / JPRT= 1  /--------/ Z1= 1   / DATE= 15/03/13
 -10.73185 -10.39376 -10.05965  -9.73602  -9.42983  -9.14188  -8.87646  -8.63746
  -8.42325  -8.23121  -8.06002  -7.90856  -7.76900  -7.63826  -7.51731  -7.40073
  -7.28697  -7.17610  -7.06471  -6.95212  -6.83904  -6.72586  -6.61269  -6.49951
 -11.05698 -10.71874 -10.38296 -10.05571  -9.74390  -9.44841  -9.17347  -8.92390
  -8.70085  -8.50312  -8.32785  -8.17097  -8.02880  -7.89837  -7.77707  -7.66172
  -7.54939  -7.43878  -7.33081  -7.22271  -7.11243  -7.00164  -6.89084  -6.78005
 -11.38453 -11.04510 -10.70868 -10.37953 -10.06080  -9.75748  -9.47420  -9.21522
  -8.98386  -8.77825  -8.59589  -8.43506  -8.29057  -8.15819  -8.03558  -7.92042
  -7.80909  -7.69917  -7.59200  -7.48547  -7.37763  -7.26946  -7.16130  -7.05313
 -11.70937 -11.37384 -11.03715 -10.70420 -10.38116 -10.07103  -9.77927  -9.51138
  -9.26963  -9.05509  -8.86658  -8.70028  -8.55200  -8.41772  -8.29376  -8.17675
  -8.06526  -7.95763  -7.84982  -7.74284  -7.63809  -7.53386  -7.42962  -7.32539
 -12.03898 -11.70345 -11.36646 -11.03284 -10.70516 -10.38984 -10.09105  -9.81298
  -9.56179  -9.33844  -9.14156  -8.96892  -8.81646  -8.67926  -8.55272  -8.43429
  -8.32149  -8.21242  -8.10632  -8.00107  -7.89523  -7.78922  -7.68321  -7.57720
 -12.26563 -11.98398 -11.67448 -11.35160 -11.02591 -10.70805 -10.40434 -10.11951
  -9.85900  -9.62622  -9.42144  -9.24178  -9.08427  -8.94365  -8.81388  -8.69299
  -8.57880  -8.46883  -8.36130  -8.25531  -8.15021  -8.04530  -7.94039  -7.83549
 -12.07763 -11.96391 -11.79144 -11.56534 -11.29717 -11.00619 -10.71043 -10.42442
 -10.15804  -9.91761  -9.70521  -9.51847  -9.35442  -9.20833  -9.07522  -8.95381
  -8.83903  -8.72642  -8.61824  -8.51225  -8.40572  -8.29903  -8.19235  -8.08566
